Name,Description,List,Labels,Checklist
"Email ingestion from Zoho","Connect to Zoho IMAP, fetch unread emails from Documents folder","Requirements","backend,ingestion","Connect IMAP;Fetch UNSEEN;Parse headers;Mark processed"
"Extract & store attachments","Download supported attachments (PDF,DOCX,CSV) from emails","Requirements","backend,ingestion","Detect file types;Download attachments;Validate size;Save to disk"
"Save files to local storage","Files saved under /data/<location>/<yyyy-mm-dd>/filename","Requirements","storage,backend","Create folders;Save file;Set permissions"
"Store metadata in MySQL","Save document metadata (filename,type,size,location,path,email info)","Requirements","db,backend","Create table;Insert metadata after save;Verify row"
"Search documents by location","API to return documents filtered by location","Requirements","backend,api","Implement query;Support filters;Return JSON"
"Download document through API","Secure endpoint to stream file by document id","Requirements","backend,api,security","Validate auth;Lookup path;Stream file;Return 404 if missing"
"REST API: upload/search/download","Implement the core API endpoints","Requirements","backend,api","Design routes;Implement controllers;Auth middleware"
"Frontend: location search UI","Simple HTML/CSS/JS page to search by location","Requirements","frontend,ui","Input/select location;Call API;Render table;Download link"
"Logging & monitoring","Log ingestion, errors, and key events","Requirements","devops,logging","Configure logging;Log success/failure;Rotate logs"
"Authentication & access control","Protect APIs with API key or basic auth","Requirements","security","Implement API key middleware;Store keys in env"
"DB indexing & performance","Add indexes for common queries (location, upload_date)","Requirements","db,performance","Add index on location;Add index on upload_date;Test query time"
"Error handling & retry mechanism","Retry ingestion on transient failures","Requirements","backend,ingestion","Retry logic;Exponential backoff;Log failures"
"Initialize repo & project skeleton","Create repo, venv, requirements.txt, README","Backlog","backend,devops","Init git;Create venv;Add README;Commit"
"Create Python virtualenv & requirements.txt","Set up environment and dependencies","Backlog","backend,devops","python -m venv venv;pip freeze>requirements.txt"
"Create MySQL database & documents table","Run SQL to create DB and documents table","Backlog","db","Run CREATE DATABASE;Run CREATE TABLE;Verify connection"
"Implement Zoho IMAP connector","Code to connect and authenticate to Zoho IMAP","Backlog","backend,ingestion","Read creds from .env;Connect using imapclient;Handle errors"
"Implement email fetch (UNSEEN)","Fetch unread emails from designated folder","Backlog","backend,ingestion","Search UNSEEN;Fetch headers;Return message IDs"
"Implement attachment download module","Save supported attachments to disk","Backlog","backend,storage","Extract attachments;Validate type;Save file;Return path"
"Implement file save path logic","Create and manage /data/<location>/<date>/ paths","Backlog","storage,backend","Create dirs;Ensure permissions;Return canonical path"
"Implement MySQL insert for metadata","Insert metadata row after successful save","Backlog","db,backend","Prepare insert query;Execute transaction;Rollback on failure"
"Implement GET /documents?location API","Return metadata filtered by location + optional filters","Backlog","backend,api","Parse params;Query DB;Return JSON"
"Implement GET /documents/{id}/download API","Serve file stream securely by ID","Backlog","backend,api","Auth check;Fetch path;Stream file;Set headers"
"Implement POST /ingest manual trigger API","Endpoint to trigger ingestion on-demand","Backlog","backend,ingestion","Auth check;Trigger ingestion job;Return status"
"Implement API key auth middleware","Add middleware to validate x-api-key header","Backlog","security,backend","Read keys from env;Validate header;Reject 401"
"Create simple HTML/CSS/JS UI (index.html)","Build the search page and results table","Backlog","frontend,ui","Create index.html;Create script.js;Style with CSS"
"Connect UI to backend API (script.js)","Make frontend call the /documents API and show results","Backlog","frontend,ui","Fetch API;Render table;Handle errors"
"Add logging (Python logging)","Central logging setup for ingestion and API","Backlog","devops,logging","Configure logging module;Log to file;Rotate logs"
"Add unit & integration tests","Write tests for ingestion and APIs","Backlog","testing","Write pytest tests;Run locally;Fix failures"
"Write README & run instructions","Document setup, env vars, and run commands","Backlog","docs","Add setup steps;Add env examples;Add run commands"
"Prepare demo steps & screenshots","Create demo instructions and screenshots","Backlog","docs,release","Record steps;Take screenshots;Attach to card"
"XR-01: Ingest email with 3 attachments","Test ingestion of email containing pdf, docx, csv","Testing / Xray","testing","Send test email;Run ingestion;Confirm files saved;Confirm DB rows"
"XR-02: Unsupported file type ignored","Verify unsupported file types are skipped","Testing / Xray","testing","Send email with unsupported file;Run ingestion;Confirm skip"
"XR-03: Save file failure -> no DB record","Simulate save failure and check DB","Testing / Xray","testing","Set invalid path;Run ingestion;Confirm no DB insert;Confirm log"
"XR-04: GET /documents returns correct data","API returns documents for given location","Testing / Xray","testing","Populate DB;Call API;Verify response"
"XR-05: Download API returns file stream","Download endpoint returns correct file data","Testing / Xray","testing","Call download endpoint;Verify file content and headers"
"XR-06: API key auth enforced","API endpoints require valid API key","Testing / Xray","security,testing","Call API without key;Expect 401;Call with key;Expect 200"
"M1: Basic Ingestion + Search (Epic)","Milestone: delivery of ingestion + search features","Backlog","milestone,epic","Complete ingestion tasks;Complete API tasks;Complete UI tasks"
"Blocked: Zoho creds missing","Blocker placeholder when credentials are not available","Blocked","blocked,issue","Obtain Zoho IMAP credentials;Update env"
"Blocked: DB access rights","Blocker when DB user lacks permissions","Blocked","blocked,issue","Request DB user privileges;Retry table creation"
"Release: Initial demo","Milestone card for initial demo readiness","Done","release","All core features implemented;Tests passed;Demo ready"
